last_name, first_name,player_id,year,p_formatted_ip,p_era,p_opp_batting_avg,
Rodriguez, Joely,570257,2022,41.2,5.18,.248,
Valdez, Phillips,570488,2022,16.1,4.41,.207,
Urena, Jose,570632,2022,74.1,5.81,.291,
Robles, Hansel,570663,2022,24.2,5.84,.260,
Cessa, Luis,570666,2022,54.1,4.97,.266,
Alvarez, R.J.,571439,2022,2.1,11.57,.400,
Appel, Mark,571446,2022,10.1,1.74,.243,
Bellatti, Andrew,571479,2022,47.2,3.40,.233,
Boyd, Matthew,571510,2022,4.0,0.00,.000,
Corbin, Patrick,571578,2022,141.1,6.30,.322,
Farmer, Buck,571656,2022,37.1,3.62,.225,
Floro, Dylan,571670,2022,43.1,3.32,.241,
Giles, Ken,571704,2022,4.1,0.00,.071,
Givens, Mychal,571710,2022,59.2,3.47,.249,
Heaney, Andrew,571760,2022,57.0,2.84,.211,
Hutchison, Drew,571800,2022,86.0,4.08,.262,
Koch, Matt,571863,2022,4.1,8.31,.278,
Law, Derek,571882,2022,10.1,0.87,.268,
Loup, Aaron,571901,2022,50.0,3.96,.230,
Markel, Parker,571917,2022,3.0,0.00,.125,
Matz, Steven,571927,2022,42.2,5.70,.269,
Mikolas, Miles,571945,2022,181.1,3.42,.230,
Milner, Hoby,571948,2022,56.0,3.70,.248,
Myers, Wil,571976,2022,3.2,7.36,.286,
Richards, Garrett,572070,2022,42.2,5.27,.262,
Selman, Sam,572125,2022,14.2,4.30,.222,
Taylor, Michael A.,572191,2022,2.0,9.00,.455,
Tepera, Ryan,572193,2022,50.1,3.58,.189,
VerHagen, Drew,572403,2022,21.2,6.65,.300,
Bard, Luke,572703,2022,15.0,1.80,.143,
Greene, Shane,572888,2022,3.0,6.00,.250,
Johnson, Pierce,572955,2022,7.0,3.86,.222,
Keuchel, Dallas,572971,2022,60.2,9.20,.349,
Mantiply, Joe,573009,2022,55.2,2.91,.248,
Rogers, Taylor,573124,2022,57.2,4.53,.231,
Stroman, Marcus,573186,2022,112.2,3.91,.243,
Thielbar, Caleb,573204,2022,52.0,3.63,.221,
Minaya, Juan,573668,2022,9.2,5.59,.216,
Kikuchi, Yusei,579328,2022,92.1,5.46,.254,
Adam, Jason,592094,2022,58.1,1.54,.135,
Brice, Austin,592169,2022,6.2,4.05,.167,
Gausman, Kevin,592332,2022,152.1,3.31,.276,
Gonzalez, Chi Chi,592346,2022,18.1,6.87,.320,
Gray, Jon,592351,2022,107.0,3.70,.222,
Hembree, Heath,592390,2022,22.0,7.36,.299,
Kahnle, Tommy,592454,2022,4.0,6.75,.231,
Kolarek, Adam,592473,2022,17.2,4.58,.294,
Ray, Robbie,592662,2022,166.2,3.56,.224,
Sadzeck, Connor,592712,2022,3.0,9.00,.333,
Sampson, Adrian,592716,2022,76.2,3.76,.266,
Sanchez, Aaron,592717,2022,52.1,6.54,.321,
Shreve, Chasen,592741,2022,26.1,6.49,.262,
Smith, Caleb,592761,2022,56.2,4.61,.229,
Smyly, Drew,592767,2022,98.1,3.57,.243,
Stanek, Ryne,592773,2022,47.1,1.14,.184,
Syndergaard, Noah,592789,2022,121.0,4.09,.267,
Taillon, Jameson,592791,2022,153.0,3.94,.247,
Thornburg, Tyler,592804,2022,19.0,3.32,.216,
Velasquez, Vince,592826,2022,62.0,5.37,.249,
Walker, Taijuan,592836,2022,134.2,3.48,.241,
Weiss, Zack,592848,2022,4.1,0.00,.133,
Wick, Rowan,592858,2022,57.0,4.42,.309,
Williams, Trevor,592866,2022,75.0,3.00,.246,
Feliz, Michael,593140,2022,3.1,2.70,.091,
German, Domingo,593334,2022,56.0,3.21,.239,
Montas, Frankie,593423,2022,141.0,3.89,.248,
Neris, Hector,593576,2022,59.1,3.34,.192,
Tapia, Domingo,593619,2022,17.0,8.47,.338,
Alberto, Hanser,593643,2022,8.0,3.38,.250,
Rodriguez, Eduardo,593958,2022,66.0,4.50,.256,
Peralta, Wandy,593974,2022,55.1,2.44,.195,
Gustave, Jandel,594311,2022,28.0,3.86,.236,
Mayers, Mike,594577,2022,47.1,5.51,.258,
Moll, Sam,594580,2022,42.2,2.74,.197,
deGrom, Jacob,594798,2022,43.1,1.66,.135,
Gonzales, Marco,594835,2022,159.2,3.89,.267,
Treinen, Blake,595014,2022,5.0,1.80,.063,
Eickhoff, Jerad,595191,2022,4.1,20.77,.455,
Okert, Steven,595345,2022,50.0,2.52,.180,
Beede, Tyler,595881,2022,59.1,5.16,.282,
Ellis, Chris,595939,2022,4.1,10.38,.278,
Junis, Jakob,596001,2022,92.2,3.98,.248,
Mengden, Daniel,596043,2022,7.0,5.14,.333,
Norris, Daniel,596057,2022,49.1,6.20,.237,
Peters, Dillon,596071,2022,39.1,4.58,.241,
Reed, Jake,596082,2022,13.1,6.08,.224,
Stephenson, Robert,596112,2022,51.0,5.82,.284,
Stubbs, Garrett,596117,2022,3.0,21.00,.467,
Weaver, Luke,596133,2022,27.1,7.24,.336,
Lawrence, Casey,596271,2022,15.2,8.04,.317,
Gomber, Austin,596295,2022,115.2,5.68,.279,
Barnes, Matt,598264,2022,31.2,5.40,.258,
Ramirez, Noe,598287,2022,50.0,5.22,.245,
Leclerc, Jose,600917,2022,41.2,3.02,.182,
Machado, Andres,600921,2022,47.1,4.18,.253,
Pivetta, Nick,601713,2022,155.1,4.29,.246,
Barlow, Scott,605130,2022,66.0,2.45,.209,
Bassitt, Chris,605135,2022,165.0,3.44,.237,
Bradley, Archie,605151,2022,18.2,4.82,.239,
Brebbia, John,605154,2022,59.1,2.88,.256,
Brooks, Aaron,605156,2022,9.1,7.71,.275,
Bundy, Dylan,605164,2022,123.0,4.68,.269,
Chafin, Andrew,605177,2022,48.0,2.81,.208,
Clevinger, Mike,605182,2022,93.2,4.13,.226,
