last_name, first_name,player_id,year,p_formatted_ip,p_era,p_opp_batting_avg,
Schmidt, Clarke,657376,2022,46.2,2.70,.228,
Gage, Matt,657424,2022,13.0,1.38,.146,
Baumann, Mike,657508,2022,17.0,4.76,.313,
Bernardino, Brennan,657514,2022,2.1,3.86,.300,
Ferguson, Caleb,657571,2022,27.0,1.67,.133,
Garrett, Reed,657585,2022,7.2,8.22,.333,
Hill, Tim,657612,2022,41.2,3.02,.258,
Koenig, Jared,657649,2022,28.1,5.72,.255,
Ryan, Joe,657746,2022,122.1,4.05,.222,
Seabold, Connor,657756,2022,11.1,11.91,.429,
Stout, Eric,657770,2022,18.2,4.34,.276,
Medina, Adonis,658431,2022,23.2,6.08,.306,
Fernandez, Junior,658551,2022,15.1,2.93,.283,
Avila, Pedro,658648,2022,4.0,4.50,.188,
Espinoza, Anderson,659262,2022,18.1,5.40,.215,
Lamet, Dinelson,659275,2022,26.1,6.15,.255,
Ohtani, Shohei,660271,2022,141.0,2.55,.217,
Reyes, Denyi,660593,2022,7.2,2.35,.267,
Paredes, Enoli,660600,2022,3.0,3.00,.273,
Ynoa, Huascar,660623,2022,6.2,13.50,.355,
Castillo, Diego,660636,2022,2.0,36.00,.545,
Rodriguez, Elvin,660730,2022,26.0,10.04,.321,
Suarez, Jose,660761,2022,86.0,3.77,.233,
De Los Santos, Yerry,660787,2022,25.2,4.91,.224,
Graterol, Brusdar,660813,2022,44.2,3.02,.200,
Bazardo, Eduard,660825,2022,5.0,7.20,.250,
De Los Santos, Enyel,660853,2022,46.1,2.91,.216,
Alcala, Jorge,660896,2022,2.1,0.00,.250,
Perez, Francisco,660906,2022,8.2,7.27,.333,
Lopez, Yoan,661255,2022,11.0,5.73,.311,
Gutierrez, Vladimir,661269,2022,36.2,7.61,.313,
Martinez, Adrian,661309,2022,38.2,5.59,.301,
Ortega, Oliver,661383,2022,34.0,3.71,.250,
Duran, Jhoan,661395,2022,62.2,1.72,.194,
Clase, Emmanuel,661403,2022,60.2,1.34,.160,
Llovera, Mauricio,661440,2022,16.1,4.41,.219,
Martinez, Seth,661527,2022,37.2,2.15,.191,
Gil, Luis,661563,2022,4.0,9.00,.294,
Munoz, Andres,662253,2022,57.2,2.65,.193,
Suarez, Robert,663158,2022,38.0,2.84,.182,
Feltner, Ryan,663372,2022,75.0,6.12,.274,
Szapucki, Thomas,663378,2022,5.1,16.88,.481,
Smith, Chad,663385,2022,8.1,10.80,.242,
Thornton, Trent,663423,2022,44.0,4.30,.245,
Rainey, Tanner,663432,2022,30.0,3.30,.228,
Martin, Davis,663436,2022,44.0,4.09,.244,
Pilkington, Konnor,663455,2022,52.1,4.30,.252,
Bubic, Kris,663460,2022,111.2,5.40,.293,
Allard, Kolby,663465,2022,17.0,8.47,.284,
McKenzie, Triston,663474,2022,165.1,3.05,.200,
Sands, Cole,663485,2022,26.2,6.75,.282,
Allen, Logan,663531,2022,7.2,5.87,.353,
Hjelle, Sean,663546,2022,11.0,5.73,.277,
Mize, Casey,663554,2022,10.0,5.40,.302,
McClanahan, Shane,663556,2022,147.1,2.20,.185,
Moran, Jovani,663558,2022,29.1,1.84,.179,
Falter, Bailey,663559,2022,62.2,4.02,.258,
Santillan, Tony,663574,2022,19.2,5.49,.299,
Small, Ethan,663629,2022,6.1,7.11,.320,
Neidert, Nick,663734,2022,5.0,3.60,.250,
Lynch, Daniel,663738,2022,112.0,5.14,.289,
Morris, Cody,663752,2022,6.0,3.00,.280,
Knehr, Reiss,663753,2022,13.2,3.95,.216,
Woodford, Jake,663765,2022,37.0,2.92,.258,
Hoeing, Bryan,663773,2022,7.0,15.43,.441,
Sandoval, Patrick,663776,2022,127.0,2.98,.246,
Kowar, Jackson,663804,2022,15.2,9.77,.380,
Hicks, Jordan,663855,2022,59.1,5.01,.205,
Singer, Brady,663903,2022,134.2,3.21,.246,
Holton, Tyler,663947,2022,9.0,3.00,.222,
Paddack, Chris,663978,2022,22.1,4.03,.284,
Stephan, Trevor,663986,2022,55.2,2.43,.245,
Vespi, Nick,663989,2022,25.2,4.21,.276,
Lakins Sr., Travis,664042,2022,10.1,9.58,.326,
Stashak, Cody,664054,2022,16.1,3.86,.250,
Gonsolin, Tony,664062,2022,128.1,2.10,.169,
Cleavinger, Garrett,664076,2022,11.2,5.40,.227,
Poppen, Sean,664092,2022,25.1,3.91,.267,
Effross, Scott,664123,2022,52.1,2.75,.221,
Fairbanks, Pete,664126,2022,18.2,1.45,.172,
Gibaut, Ian,664139,2022,28.0,4.50,.275,
Brubaker, JT,664141,2022,138.1,4.36,.264,
Swarmer, Matt,664161,2022,34.0,5.03,.250,
Clarke, Taylor,664199,2022,47.0,4.02,.261,
Cyr, Tyler,664202,2022,5.1,3.38,.238,
Maton III, Phil,664208,2022,54.2,3.95,.240,
Valdez, Framber,664285,2022,179.2,2.50,.213,
Moreta, Dauri,664294,2022,33.2,5.61,.232,
Javier, Cristian,664299,2022,125.2,3.01,.183,
Yajure, Miguel,664337,2022,17.2,8.66,.320,
Urquidy, Jose,664353,2022,151.0,3.75,.245,
Romero, Jhon,664584,2022,5.0,3.60,.391,
Diaz, Alexis,664747,2022,54.0,1.83,.134,
Cousins, Jake,664776,2022,8.0,4.50,.250,
Young, Danny,664849,2022,6.1,4.26,.367,
Helsley, Ryan,664854,2022,57.1,1.26,.129,
Lawrence, Justin,664875,2022,32.2,4.41,.246,
Naile, James,664942,2022,9.0,5.00,.229,
Vieaux, Cam,664944,2022,8.2,10.38,.366,
Misiewicz, Anthony,664948,2022,19.1,5.59,.276,
Kelley, Trevor,665001,2022,21.0,6.00,.259,
Clemens, Kody,665019,2022,6.0,4.50,.370,
Kremer, Dean,665152,2022,94.2,3.23,.267,
Garcia, Rony,665621,2022,51.0,4.41,.213,
Peguero, Elvis,665625,2022,17.1,6.75,.319,
Castro, Kervin,665645,2022,12.1,10.22,.300,
Sanmartin, Reiver,665665,2022,46.2,6.94,.319,
Cabrera, Edward,665795,2022,54.2,2.63,.168,
Assad, Javier,665871,2022,21.1,2.53,.241,
Marte, Jose,665896,2022,10.0,8.10,.216,
Anderson, Ian,666120,2022,111.2,5.00,.264,
Garrett, Braxton,666129,2022,73.1,3.68,.243,
Ragans, Cole,666142,2022,21.1,3.80,.225,
Lodolo, Nick,666157,2022,81.0,3.78,.247,
Manning, Matt,666159,2022,50.2,3.73,.249,
Thompson, Mason,666168,2022,14.0,0.64,.128,
Luzardo, Jesus,666200,2022,75.2,3.81,.194,
Manoah, Alek,666201,2022,171.0,2.42,.207,
Jimenez, Dany,666204,2022,34.1,3.41,.183,
Muller, Kyle,666205,2022,7.2,10.57,.233,
Wentz, Joey,666214,2022,13.1,4.05,.213,
Brash, Matt,666374,2022,42.1,4.46,.263,
Santos, Gregory,666619,2022,3.2,4.91,.214,
Castillo, Max,666721,2022,30.1,2.97,.205,
Doval, Camilo,666808,2022,59.1,2.58,.220,
Frias, Luis,666818,2022,11.2,12.34,.320,
Cano, Yennier,666974,2022,15.1,12.33,.343,
Nance, Tommy,667297,2022,38.2,4.66,.275,
Rondon, Angel,667373,2022,5.0,0.00,.059,
Sanchez, Miguel,667376,2022,13.1,4.05,.245,
Jackson, Zach,667427,2022,48.0,3.00,.171,
King, John,667463,2022,42.1,4.25,.286,
Fletcher, Aaron,667465,2022,11.2,6.94,.233,
Dugger, Robert,667498,2022,16.0,6.19,.292,
Tyler, Kyle,667725,2022,4.0,0.00,.154,
Miller, Tyson,668338,2022,3.0,18.00,.357,
Nogosek, Stephen,668665,2022,19.1,2.79,.224,
Plesac, Zach,668676,2022,127.0,4.39,.256,
Gallen, Zac,668678,2022,158.2,2.50,.185,
Tully, Tanner,668684,2022,6.0,6.00,.333,
Kranick, Max,668820,2022,5.0,0.00,.188,
Thompson, Zack,668868,2022,26.2,2.03,.188,
Kilian, Caleb,668873,2022,11.1,10.32,.262,
Greene, Hunter,668881,2022,102.2,5.26,.237,
Ashcraft, Graham,668933,2022,93.0,3.97,.272,
Romero, JoJo,668941,2022,10.0,4.50,.235,
McCarty, Kirk,668948,2022,24.1,5.55,.277,
Gore, MacKenzie,669022,2022,70.0,4.50,.248,
Wilson, Bryse,669060,2022,94.0,6.03,.306,
Hall, DL,669084,2022,6.1,11.37,.357,
Estrada, Jeremiah,669093,2022,3.2,4.91,.357,
Zimmermann, Bruce,669145,2022,73.2,5.99,.321,
May, Dustin,669160,2022,21.0,4.29,.187,
Heasley, Jonathan,669169,2022,81.2,5.51,.276,
Nelson, Ryne,669194,2022,13.0,0.00,.133,
Burnes, Corbin,669203,2022,172.0,2.93,.196,
Akin, Keegan,669211,2022,74.1,3.03,.221,
Morgan, Eli,669212,2022,55.0,3.93,.198,
Kuhnel, Joel,669270,2022,49.0,5.69,.275,
Lee, Dylan,669276,2022,41.2,2.59,.238,
Gilbert, Logan,669302,2022,161.2,3.23,.246,
Wells, Tyler,669330,2022,96.2,3.91,.232,
Baz, Shane,669358,2022,27.0,5.00,.252,
Skubal, Tarik,669373,2022,117.2,3.52,.237,
Coleman, Dylan,669395,2022,58.2,2.45,.191,
Lambert, Jimmy,669424,2022,40.0,2.70,.237,
Rogers, Trevor,669432,2022,106.0,5.35,.271,
Bieber, Shane,669456,2022,173.1,2.91,.229,
Nelson, Kyle,669459,2022,37.0,2.19,.194,
Liberatore, Matthew,669461,2022,29.2,5.46,.298,
Pallante, Andre,669467,2022,100.0,3.24,.276,
Barlow, Joe,669618,2022,31.1,3.16,.212,
Bender, Anthony,669622,2022,19.1,3.26,.250,
Long, Sam,669674,2022,42.1,3.61,.238,
Weissert, Greg,669711,2022,8.0,7.88,.194,
Wesneski, Hayden,669713,2022,8.2,3.12,.188,
De Jesus, Angel,669804,2022,9.1,2.89,.216,
Blanco, Ronel,669854,2022,6.1,7.11,.296,
Snead, Kirby,669912,2022,39.0,6.00,.313,
Alexander, Jason,669920,2022,68.0,5.29,.308,
Kirby, George,669923,2022,111.2,2.98,.258,
Alexy, A.J.,669935,2022,7.0,11.57,.345,
White, Mitch,669952,2022,81.1,5.09,.264,
Festa, Matthew,670036,2022,45.0,3.60,.217,
Rosenberg, Kenny,670046,2022,10.2,4.22,.225,
Holderman, Colin,670059,2022,28.1,3.81,.206,
Mills, Wyatt,670090,2022,29.1,4.60,.243,
Oller, Adam,670124,2022,73.1,6.01,.275,
Schreiber, John,670167,2022,57.1,2.04,.186,
Winckowski, Josh,670174,2022,67.1,5.75,.293,
Bednar, David,670280,2022,46.2,2.70,.208,
Fishman, Jake,670288,2022,4.1,2.08,.333,
Garcia, Rico,670329,2022,8.0,4.50,.250,
Diehl, Phillip,670426,2022,5.2,11.12,.320,
Brosseau, Mike,670712,2022,3.0,0.00,.167,
Gonzalez, Luis,670768,2022,6.1,5.68,.310,
Gillaspie, Logan,670810,2022,12.0,3.75,.340,
Oviedo, Johan,670912,2022,30.0,3.90,.248,
Richards, Trevor,670950,2022,55.2,4.85,.248,
Uceta, Edwin,670955,2022,17.0,5.82,.215,
Morejon, Adrian,670970,2022,25.0,4.32,.253,
Ramirez, Yohan,670990,2022,25.1,6.04,.247,
Foley, Jason,671345,2022,53.2,3.19,.278,
Bolanos, Ronald,671790,2022,18.1,4.42,.286,
Detmers, Reid,672282,2022,113.0,3.82,.227,
Perez, Cionel,672335,2022,49.1,1.46,.223,
Ort, Kaleb,672391,2022,21.1,6.33,.322,
Hernandez, Carlos,672578,2022,46.0,8.02,.325,
Zerpa, Angel,672582,2022,11.0,1.64,.220,
Contreras, Roansy,672710,2022,79.1,3.29,.223,
Patino, Luis,672715,2022,20.0,8.10,.313,
Morales, Francisco,672839,2022,5.0,7.20,.143,
Adon, Joan,672851,2022,64.2,7.10,.290,
Cruz, Jesus,672911,2022,8.2,6.23,.235,
Barker, Luke,673316,2022,4.0,11.25,.368,
Walsh, Jake,673904,2022,2.2,13.50,.250,
Henry, Tommy,674072,2022,36.0,5.50,.271,
Curry, Xzavion,675540,2022,9.1,5.79,.325,
Grove, Michael,675627,2022,9.1,4.82,.286,
Strider, Spencer,675911,2022,125.2,2.72,.186,
Lowther, Zac,675912,2022,5.1,8.44,.348,
Karinchak, James,675916,2022,28.2,1.57,.152,
Howard, Spencer,675921,2022,37.2,7.41,.309,
Naughton, Packy,676050,2022,28.0,5.14,.281,
Junk, Janson,676083,2022,8.1,6.48,.294,
Snider, Collin,676092,2022,29.0,5.90,.284,
Jones, Damon,676103,2022,4.2,9.64,.222,
Butto, Jose,676130,2022,4.0,15.75,.429,
Tetreault, Jackson,676194,2022,21.0,5.14,.274,
Abbott, Cory,676265,2022,32.0,4.22,.207,
Clement, Ernie,676391,2022,2.0,18.00,.600,
Whitlock, Garrett,676477,2022,76.1,3.42,.221,
Faucher, Calvin,676534,2022,17.1,6.75,.316,
Fleming, Josh,676596,2022,26.1,6.84,.345,
Sanders, Phoenix,676637,2022,14.2,3.07,.226,
Sulser, Beau,676641,2022,21.0,3.86,.265,
Solomon, Jared,676660,2022,8.1,10.80,.242,
Sears, JP,676664,2022,51.1,3.33,.259,
Vest, Will,676684,2022,55.1,3.90,.251,
Crawford, Kutter,676710,2022,77.1,5.47,.269,
Hughes, Brandon,676714,2022,50.0,3.24,.192,
Romero, Tommy,676720,2022,4.2,7.71,.188,
Marinaccio, Ron,676760,2022,37.1,1.93,.151,
Whitley, Kodi,676831,2022,12.2,5.68,.234,
Peacock, Matt,676840,2022,10.0,5.40,.286,
Ashby, Aaron,676879,2022,96.1,4.58,.252,
Beasley, Jeremy,676886,2022,15.0,4.80,.250,
Cavalli, Cade,676917,2022,4.1,14.54,.333,
Meyer, Max,676974,2022,6.0,7.50,.292,
Nardi, Andrew,677053,2022,8.0,14.63,.415,
Kelly, Zack,677161,2022,6.2,2.70,.217,
Garcia, Luis,677651,2022,140.1,4.04,.230,
Bruihl, Justin,677865,2022,20.1,3.98,.267,
Weathers, Ryan,677960,2022,3.2,9.82,.353,
Kerr, Ray,678061,2022,5.0,9.00,.188,
Bello, Brayan,678394,2022,37.1,5.79,.304,
Gray, Josiah,680686,2022,131.2,5.06,.240,
Bradish, Kyle,680694,2022,97.0,5.01,.281,
Sandlin, Nick,680704,2022,38.0,2.13,.167,
Winder, Josh,680739,2022,49.1,3.83,.246,
Silseth, Chase,681217,2022,28.2,6.59,.287,
Roberts, Ethan,681799,2022,7.2,8.22,.323,
Wantz, Andrew,681806,2022,41.0,3.29,.205,
Warren, Austin,681810,2022,16.0,5.63,.306,
Criswell, Cooper,681867,2022,3.1,2.70,.167,
Lee, Evan,681885,2022,8.2,4.15,.257,
Vesia, Alex,681911,2022,46.2,2.31,.193,
Hill, Garrett,682051,2022,51.2,3.83,.226,
Murfee, Penn,682171,2022,58.1,2.47,.179,
Gaddis, Hunter,683769,2022,3.1,21.60,.412,
Arihara, Kohei,685503,2022,20.0,9.45,.387,
Waldichuk, Ken,686610,2022,10.0,3.60,.211,
Brown, Hunter,686613,2022,6.0,0.00,.150,
Pepiot, Ryan,686752,2022,33.1,3.78,.208,
Varland, Louie,686973,2022,5.1,3.38,.167,
Fisher, Nate,688010,2022,3.0,0.00,.111,
Brieske, Beau,689225,2022,81.2,4.19,.236,
Elder, Bryce,693821,2022,34.1,3.67,.224,
