last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Segura, Jean,516416,2022,305,237,0.282,0.257,0.024999999999999967,0.407,0.367,0.03999999999999998,0.327,0.304,0.02300000000000002
Toro, Abraham,647351,2022,305,232,0.182,0.226,-0.04400000000000001,0.325,0.372,-0.046999999999999986,0.247,0.286,-0.03899999999999998
Anderson, Brian,605119,2022,304,183,0.222,0.232,-0.010000000000000009,0.346,0.385,-0.039000000000000035,0.295,0.315,-0.020000000000000018
Gorman, Nolan,669357,2022,302,177,0.233,0.242,-0.00899999999999998,0.433,0.484,-0.05099999999999999,0.32,0.343,-0.02300000000000002
Contreras, William,661388,2022,299,187,0.27,0.243,0.027000000000000024,0.509,0.478,0.031000000000000028,0.367,0.345,0.02200000000000002
Belt, Brandon,474832,2022,298,174,0.213,0.215,-0.0020000000000000018,0.35,0.412,-0.062,0.303,0.326,-0.02300000000000002
Davis, J.D.,605204,2022,297,160,0.236,0.237,-0.0010000000000000009,0.388,0.45,-0.062,0.318,0.343,-0.025000000000000022
Haase, Eric,606992,2022,297,192,0.253,0.24,0.013000000000000012,0.447,0.407,0.040000000000000036,0.324,0.306,0.018000000000000016
García, Luis,671277,2022,296,226,0.29,0.266,0.023999999999999966,0.427,0.423,0.0040000000000000036,0.314,0.312,0.0020000000000000018
Vierling, Matt,663837,2022,295,210,0.232,0.272,-0.04000000000000001,0.326,0.4,-0.07400000000000001,0.275,0.326,-0.05099999999999999
Schwindel, Frank,643524,2022,292,215,0.229,0.23,-0.0010000000000000009,0.358,0.351,0.007000000000000006,0.278,0.279,-0.0010000000000000009
