last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Polanco, Jorge,593871,2022,445,284,0.235,0.248,-0.013000000000000012,0.405,0.451,-0.045999999999999985,0.333,0.358,-0.024999999999999967
Rojas, Miguel,500743,2022,443,360,0.234,0.259,-0.024999999999999994,0.328,0.346,-0.01799999999999996,0.269,0.29,-0.020999999999999963
Rojas, Josh,668942,2022,441,309,0.272,0.241,0.031000000000000028,0.394,0.366,0.028000000000000025,0.329,0.308,0.02100000000000002
Melendez, MJ,669004,2022,438,272,0.219,0.233,-0.014000000000000012,0.392,0.391,0.0010000000000000009,0.31,0.325,-0.015000000000000013
Renfroe, Hunter,592669,2022,435,297,0.254,0.243,0.01100000000000001,0.497,0.452,0.044999999999999984,0.348,0.331,0.01699999999999996
Ruiz, Keibert,660688,2022,433,347,0.251,0.277,-0.026000000000000023,0.36,0.403,-0.04300000000000004,0.299,0.328,-0.029000000000000026
Perdomo, Geraldo,672695,2022,433,294,0.194,0.219,-0.024999999999999994,0.264,0.287,-0.022999999999999965,0.256,0.276,-0.020000000000000018
Carlson, Dylan,666185,2022,431,304,0.24,0.236,0.0040000000000000036,0.386,0.361,0.025000000000000022,0.309,0.303,0.006000000000000005
Odor, Rougned,596059,2022,425,286,0.2,0.202,-0.0020000000000000018,0.356,0.334,0.021999999999999964,0.272,0.27,0.0020000000000000018
Wong, Kolten,543939,2022,424,298,0.245,0.236,0.009000000000000008,0.414,0.342,0.07199999999999995,0.327,0.301,0.026000000000000023
Grossman, Robbie,543257,2022,421,248,0.208,0.208,0,0.299,0.306,-0.007000000000000006,0.281,0.286,-0.004999999999999949
Cooper, Garrett,643265,2022,421,269,0.261,0.259,0.0020000000000000018,0.412,0.435,-0.02300000000000002,0.329,0.341,-0.01200000000000001
Urías, Luis,649966,2022,420,272,0.223,0.228,-0.0050000000000000044,0.388,0.385,0.0030000000000000027,0.317,0.321,-0.0040000000000000036
Peralta, David,444482,2022,420,284,0.253,0.251,0.0020000000000000018,0.437,0.409,0.028000000000000025,0.323,0.316,0.007000000000000006
Santana, Carlos,467793,2022,419,288,0.198,0.249,-0.05099999999999999,0.36,0.423,-0.063,0.304,0.349,-0.044999999999999984
Lux, Gavin,666158,2022,418,293,0.293,0.256,0.03699999999999998,0.428,0.39,0.03799999999999998,0.35,0.329,0.020999999999999963
Miller, Owen,680911,2022,418,302,0.242,0.242,0,0.351,0.335,0.01599999999999996,0.284,0.285,-0.0010000000000000009
Candelario, Jeimer,600869,2022,414,284,0.205,0.228,-0.02300000000000002,0.357,0.383,-0.026000000000000023,0.274,0.295,-0.020999999999999963
Hosmer, Eric,543333,2022,414,312,0.267,0.256,0.01100000000000001,0.381,0.378,0.0030000000000000027,0.313,0.311,0.0020000000000000018
Vogelbach, Daniel,596129,2022,412,247,0.23,0.237,-0.0069999999999999785,0.422,0.43,-0.008000000000000007,0.34,0.348,-0.007999999999999952
Trout, Mike,545361,2022,412,243,0.28,0.26,0.020000000000000018,0.629,0.583,0.04600000000000004,0.418,0.395,0.022999999999999965
Naylor, Josh,647304,2022,411,318,0.265,0.261,0.0040000000000000036,0.457,0.44,0.017000000000000015,0.333,0.33,0.0030000000000000027
Rengifo, Luis,650859,2022,409,327,0.274,0.256,0.018000000000000016,0.43,0.387,0.04299999999999998,0.318,0.296,0.02200000000000002
Walls, Taylor,670764,2022,408,256,0.176,0.196,-0.020000000000000018,0.282,0.297,-0.015000000000000013,0.25,0.266,-0.016000000000000014
Urías, Ramón,602104,2022,405,287,0.249,0.25,-0.0010000000000000009,0.417,0.422,-0.0050000000000000044,0.312,0.318,-0.006000000000000005
Hicks, Aaron,543305,2022,403,252,0.211,0.216,-0.0050000000000000044,0.296,0.319,-0.02300000000000002,0.285,0.296,-0.01100000000000001
Reyes, Franmil,614177,2022,400,242,0.233,0.21,0.02300000000000002,0.388,0.375,0.013000000000000012,0.288,0.28,0.007999999999999952
Suzuki, Seiya,673548,2022,400,261,0.261,0.241,0.020000000000000018,0.429,0.407,0.02200000000000002,0.33,0.319,0.01100000000000001
Heim, Jonah,641680,2022,399,282,0.23,0.224,0.006000000000000005,0.402,0.36,0.04200000000000004,0.312,0.296,0.016000000000000014
Taylor, Michael A.,572191,2022,399,270,0.268,0.231,0.037000000000000005,0.384,0.371,0.013000000000000012,0.314,0.299,0.015000000000000013
Perez, Salvador,521692,2022,397,274,0.244,0.235,0.009000000000000008,0.458,0.455,0.0030000000000000027,0.316,0.314,0.0020000000000000018
Calhoun, Kole,594777,2022,395,241,0.204,0.23,-0.026000000000000023,0.348,0.396,-0.04800000000000004,0.27,0.302,-0.03199999999999997
Cabrera, Miguel,408234,2022,393,271,0.256,0.238,0.018000000000000016,0.317,0.334,-0.017000000000000015,0.275,0.278,-0.0030000000000000027
Story, Trevor,596115,2022,393,238,0.24,0.223,0.016999999999999987,0.438,0.4,0.03799999999999998,0.318,0.303,0.015000000000000013
Sánchez, Gary,596142,2022,392,244,0.215,0.22,-0.0050000000000000044,0.393,0.445,-0.05199999999999999,0.296,0.319,-0.02300000000000002
Marsh, Brandon,669016,2022,390,224,0.232,0.213,0.019000000000000017,0.367,0.358,0.009000000000000008,0.285,0.277,0.007999999999999952
Taylor, Chris,621035,2022,390,206,0.222,0.193,0.028999999999999998,0.376,0.334,0.04199999999999998,0.3,0.276,0.023999999999999966
Franco, Maikel,596748,2022,388,299,0.229,0.243,-0.013999999999999985,0.342,0.351,-0.008999999999999952,0.261,0.272,-0.01100000000000001
Miranda, Jose,669304,2022,387,281,0.277,0.253,0.02400000000000002,0.451,0.416,0.03500000000000003,0.341,0.318,0.02300000000000002
Donovan, Brendan,680977,2022,386,269,0.291,0.269,0.021999999999999964,0.388,0.361,0.027000000000000024,0.35,0.334,0.01599999999999996
Castro, Harold,605612,2022,384,297,0.276,0.277,-0.0010000000000000009,0.39,0.43,-0.03999999999999998,0.303,0.321,-0.018000000000000016
Robert, Luis,673357,2022,384,293,0.295,0.278,0.01699999999999996,0.444,0.461,-0.017000000000000015,0.336,0.336,0
Thomas, Alek,677950,2022,384,289,0.246,0.244,0.0020000000000000018,0.367,0.344,0.02300000000000002,0.289,0.284,0.0050000000000000044
Senzel, Nick,669222,2022,383,271,0.236,0.248,-0.01200000000000001,0.307,0.349,-0.04199999999999998,0.275,0.296,-0.020999999999999963
Stott, Bryson,681082,2022,383,285,0.235,0.242,-0.007000000000000006,0.365,0.352,0.013000000000000012,0.292,0.291,0.0010000000000000009
Crawford, Brandon,543063,2022,383,260,0.226,0.213,0.013000000000000012,0.346,0.339,0.006999999999999951,0.289,0.283,0.006000000000000005
Buxton, Byron,621439,2022,382,225,0.224,0.242,-0.017999999999999988,0.526,0.509,0.017000000000000015,0.356,0.358,-0.0020000000000000018
Vázquez, Christian,543877,2022,382,299,0.28,0.27,0.010000000000000009,0.404,0.384,0.020000000000000018,0.319,0.311,0.008000000000000007
Chavis, Michael,656308,2022,381,250,0.236,0.221,0.014999999999999986,0.408,0.349,0.059,0.29,0.265,0.024999999999999967
Stanton, Giancarlo,519317,2022,378,232,0.216,0.253,-0.037000000000000005,0.458,0.49,-0.03199999999999997,0.325,0.36,-0.034999999999999976
Rutschman, Adley,668939,2022,376,254,0.252,0.253,-0.0010000000000000009,0.443,0.428,0.015000000000000013,0.352,0.349,0.0030000000000000027
Harrison, Josh,543281,2022,376,282,0.252,0.23,0.021999999999999992,0.364,0.327,0.03699999999999998,0.302,0.28,0.021999999999999964
Votto, Joey,458015,2022,376,225,0.205,0.218,-0.013000000000000012,0.37,0.39,-0.020000000000000018,0.31,0.323,-0.013000000000000012
Gamel, Ben,592325,2022,372,245,0.234,0.251,-0.016999999999999987,0.374,0.377,-0.0030000000000000027,0.308,0.318,-0.010000000000000009
Pederson, Joc,592626,2022,372,246,0.269,0.273,-0.0040000000000000036,0.526,0.52,0.006000000000000005,0.373,0.376,-0.0030000000000000027
O'Neill, Tyler,641933,2022,368,230,0.227,0.244,-0.016999999999999987,0.386,0.426,-0.03999999999999998,0.305,0.333,-0.028000000000000025
Choi, Ji-Man,596847,2022,366,205,0.228,0.226,0.0020000000000000018,0.37,0.387,-0.017000000000000015,0.313,0.324,-0.01100000000000001
Ruf, Darin,573131,2022,365,219,0.207,0.22,-0.013000000000000012,0.35,0.381,-0.031000000000000028,0.297,0.314,-0.017000000000000015
Morel, Christopher,666624,2022,364,217,0.244,0.234,0.009999999999999981,0.436,0.428,0.008000000000000007,0.324,0.319,0.0050000000000000044
Ortega, Rafael,542364,2022,364,244,0.23,0.237,-0.0069999999999999785,0.34,0.338,0.0020000000000000018,0.295,0.304,-0.009000000000000008
